trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",25,3,-56.983939104082346,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.9801, 'e': 0.9801}",20,0,-89.9316517500978,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.9702989999999999, 'e': 0.9702989999999999}",20,0,-42.600928403167586,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.96059601, 'e': 0.96059601}",30,0,-172.76869989843286,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.9509900498999999, 'e': 0.9509900498999999}",20,0,-40.88625753207221,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.9414801494009999, 'e': 0.9414801494009999}",20,0,-149.9750627005065,"{0: 11, 1: 4, 2: 0, 3: 3, 4: 2}",0
7,False,"{'a': 0.9320653479069899, 'e': 0.9320653479069899}",20,0,-63.56429357067341,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.92274469442792, 'e': 0.92274469442792}",30,0,-173.32046573079512,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.9135172474836407, 'e': 0.9135172474836407}",20,0,-141.15437513045887,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
10,False,"{'a': 0.9043820750088043, 'e': 0.9043820750088043}",20,0,-66.39067474407011,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.8953382542587163, 'e': 0.8953382542587163}",25,0,-59.24500110752664,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.8863848717161291, 'e': 0.8863848717161291}",25,0,-148.6106133420001,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.8775210229989678, 'e': 0.8775210229989678}",20,0,-151.99997680208102,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.8687458127689781, 'e': 0.8687458127689781}",30,0,-133.67441155857716,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.8600583546412883, 'e': 0.8600583546412883}",25,0,-173.71852687692618,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.8514577710948754, 'e': 0.8514577710948754}",30,0,-132.3625657787128,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.8429431933839266, 'e': 0.8429431933839266}",20,0,-6.200161764569823,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.8345137614500874, 'e': 0.8345137614500874}",20,0,-120.2088421377004,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.8261686238355865, 'e': 0.8261686238355865}",20,0,-33.176301828540595,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.8179069375972307, 'e': 0.8179069375972307}",20,0,-170.41879255718032,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
21,False,"{'a': 0.8097278682212583, 'e': 0.8097278682212583}",30,3,-90.01767988969793,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 1}",1
22,False,"{'a': 0.8016305895390458, 'e': 0.8016305895390458}",20,15,1.5713527538913377,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7936142836436553, 'e': 0.7936142836436553}",20,0,-74.56311409219701,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.7856781408072188, 'e': 0.7856781408072188}",20,9,18.44377109149984,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.7778213593991465, 'e': 0.7778213593991465}",30,10,-31.393027662861922,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.7700431458051551, 'e': 0.7700431458051551}",25,0,-124.50894839874618,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
27,False,"{'a': 0.7623427143471035, 'e': 0.7623427143471035}",25,15,-18.034315611069832,"{0: 5, 1: 4, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.7547192872036325, 'e': 0.7547192872036325}",20,0,-134.13751947165608,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
29,False,"{'a': 0.7471720943315961, 'e': 0.7471720943315961}",25,5,-15.61295807230791,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.7397003733882802, 'e': 0.7397003733882802}",20,0,-11.73550944930267,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.7323033696543974, 'e': 0.7323033696543974}",20,0,-143.1582334915349,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
32,False,"{'a': 0.7249803359578534, 'e': 0.7249803359578534}",20,0,-163.21674971876558,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
33,False,"{'a': 0.7177305325982748, 'e': 0.7177305325982748}",20,10,-44.021797567403816,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.7105532272722921, 'e': 0.7105532272722921}",20,0,-75.40253408240731,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.7034476949995692, 'e': 0.7034476949995692}",20,6,-16.545302244453122,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
36,False,"{'a': 0.6964132180495735, 'e': 0.6964132180495735}",20,5,-32.74466349160329,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
37,False,"{'a': 0.6894490858690777, 'e': 0.6894490858690777}",20,11,-45.787954342895816,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.682554595010387, 'e': 0.682554595010387}",25,0,-57.02982120573909,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.6757290490602831, 'e': 0.6757290490602831}",30,0,-121.39388352659019,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
40,False,"{'a': 0.6689717585696803, 'e': 0.6689717585696803}",25,0,-144.9910664665371,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 3}",0
41,False,"{'a': 0.6622820409839835, 'e': 0.6622820409839835}",20,0,-114.56031969374976,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
42,False,"{'a': 0.6556592205741436, 'e': 0.6556592205741436}",25,8,-95.79297177298271,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
43,False,"{'a': 0.6491026283684022, 'e': 0.6491026283684022}",20,8,-58.09309408138121,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
44,False,"{'a': 0.6426116020847181, 'e': 0.6426116020847181}",20,0,-8.787324921663052,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.6361854860638709, 'e': 0.6361854860638709}",35,0,-146.2790420796865,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",0
46,False,"{'a': 0.6298236312032323, 'e': 0.6298236312032323}",25,16,-11.224247000515753,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.6235253948912, 'e': 0.6235253948912}",30,8,-59.462012333627214,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
48,False,"{'a': 0.617290140942288, 'e': 0.617290140942288}",30,4,-104.45658887935622,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 1}",1
