trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",20,9,-45.64464493271135,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.9801, 'e': 0.9801}",20,0,-102.11060106198883,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.9702989999999999, 'e': 0.9702989999999999}",30,4,-68.06108959839467,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.96059601, 'e': 0.96059601}",20,0,-137.93793549612397,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.9509900498999999, 'e': 0.9509900498999999}",30,0,-187.7637051428751,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",1
6,False,"{'a': 0.9414801494009999, 'e': 0.9414801494009999}",20,0,-33.63603476628539,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.9320653479069899, 'e': 0.9320653479069899}",20,0,-192.51698605306547,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.92274469442792, 'e': 0.92274469442792}",20,0,-110.42677194582332,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.9135172474836407, 'e': 0.9135172474836407}",30,0,-210.11001330070107,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.9043820750088043, 'e': 0.9043820750088043}",25,14,-27.88589037716246,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.8953382542587163, 'e': 0.8953382542587163}",25,0,-59.31678777536314,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.8863848717161291, 'e': 0.8863848717161291}",20,0,-73.56771062725548,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.8775210229989678, 'e': 0.8775210229989678}",20,0,-52.71094110973982,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.8687458127689781, 'e': 0.8687458127689781}",20,10,-36.968831598363344,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.8600583546412883, 'e': 0.8600583546412883}",20,0,-75.61592376232798,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.8514577710948754, 'e': 0.8514577710948754}",25,17,-13.657368133100912,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.8429431933839266, 'e': 0.8429431933839266}",25,0,-100.04907709353549,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
