trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9987558219023878, 'e': 0.998}",30,0,-65.84804333240119,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.9980800737699683, 'e': 0.996004}",20,0,-89.53777674388586,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.9998243366048488, 'e': 0.994011992}",20,0,-101.7735280843342,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.9941689750020364, 'e': 0.992023968016}",25,0,-120.32312147902992,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.9987114478616775, 'e': 0.990039920079968}",20,0,-137.36062680201337,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.9932264342792131, 'e': 0.9880598402398081}",20,0,-162.0075108154419,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.9891777603509722, 'e': 0.9860837205593285}",20,0,-96.8278106625571,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.9867532405766745, 'e': 0.9841115531182099}",25,0,-171.03073572819625,"{0: 10, 1: 2, 2: 11, 3: 1, 4: 1}",0
9,False,"{'a': 0.9901812903199186, 'e': 0.9821433300119734}",20,0,-100.13544109846652,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.9944454333070003, 'e': 0.9801790433519495}",25,0,-116.48420939013334,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.9923505736205842, 'e': 0.9782186852652456}",20,0,-77.39340805691549,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.9830876282434551, 'e': 0.976262247894715}",25,0,-95.34026536399637,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.9811886246255269, 'e': 0.9743097233989256}",20,0,-92.53512618454339,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.9773311842816723, 'e': 0.9723611039521278}",25,0,-110.74302860058201,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.9756135281008652, 'e': 0.9704163817442236}",35,0,-166.94716486335852,"{0: 22, 1: 3, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.9710427054508587, 'e': 0.9684755489807352}",25,0,-212.26039175841476,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.9896197929384745, 'e': 0.9665385978827737}",25,0,-134.57203695007726,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.9711688122225668, 'e': 0.9646055206870082}",30,0,-212.39408274338763,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
19,False,"{'a': 0.9867022432633508, 'e': 0.9626763096456342}",25,0,-134.27102036774673,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.9610911167403943, 'e': 0.9607509570263429}",25,0,-66.12896979475042,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.9776743878113691, 'e': 0.9588294551122902}",25,0,-115.82751075390036,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
22,False,"{'a': 0.9783601408962788, 'e': 0.9569117962020657}",25,0,-116.34249230885348,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.9922582890687759, 'e': 0.9549979726096616}",20,0,-68.13368876655153,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.9820242197439957, 'e': 0.9530879766644422}",30,0,-155.379018882445,"{0: 13, 1: 8, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.9795705765643117, 'e': 0.9511818007111134}",25,0,-81.65080963825214,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
26,False,"{'a': 0.9559272048871328, 'e': 0.9492794371096911}",25,0,-125.16719974767561,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.9554948996288208, 'e': 0.9473808782354717}",20,0,-150.11613035248212,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.9866915642864313, 'e': 0.9454861164790007}",30,0,-139.45389913527438,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
29,False,"{'a': 0.9956570830716427, 'e': 0.9435951442460427}",25,0,-160.07844759877048,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
30,False,"{'a': 0.9425582128503133, 'e': 0.9417079539575507}",25,0,-54.98124617037858,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.9906208319333868, 'e': 0.9398245380496356}",25,0,-185.4137373028142,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
32,False,"{'a': 0.9823225546317329, 'e': 0.9379448889735363}",20,0,-156.13384292284445,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
33,False,"{'a': 0.9958021322709353, 'e': 0.9360689991955893}",20,0,-151.91381800436875,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
34,False,"{'a': 0.9673698381885439, 'e': 0.9341968611971981}",30,5,-170.92542176906565,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",1
35,False,"{'a': 0.9873500373173246, 'e': 0.9323284674748037}",25,0,-79.1013649935645,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
36,False,"{'a': 0.973982785542635, 'e': 0.930463810539854}",25,0,-140.2345817267326,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.96236752170315, 'e': 0.9286028829187744}",25,0,-73.2387667066056,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.9637255558639459, 'e': 0.9267456771529368}",20,0,-73.87773974652409,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
