trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-59.68721948871432,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-127.93860062149844,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,20,5.051797416971747,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-173.599587158231,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-140.998549248061,"{0: 25, 1: 1, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-103.17022527054704,"{0: 12, 1: 7, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-71.81882845505855,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,10,-44.461740524311935,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-97.18521387808877,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,3,-62.48115677214457,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-183.4064561534968,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-36.44193223958327,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-107.51041359642952,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-249.24274151949027,"{0: 15, 1: 3, 2: 5, 3: 4, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-166.1217458957068,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-138.66961885706883,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-118.23971373837193,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,1,-63.921980779658945,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-143.95990880771166,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-70.22250562090558,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-154.89670805910464,"{0: 9, 1: 2, 2: 4, 3: 4, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-178.40237193138807,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-67.40924236590394,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,11,-49.315803759971054,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-117.88904823319473,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-92.46030164740456,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-55.06207157008027,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-247.09172133457514,"{0: 10, 1: 2, 2: 9, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-173.0774871440724,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-162.2915623446384,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
